Zeit; Event; Ursache; Info
2018-12-28 06:55:19;In Standbymodus versetzt;Application API;
2018-12-28 09:54:42;Aus Standbymodus aufgeweckt;;
2018-12-28 09:56:50;In Standbymodus versetzt;Application API;
2018-12-28 10:39:16;Aus Standbymodus aufgeweckt;;
2018-12-28 10:57:52;In Standbymodus versetzt;Application API;
2018-12-28 10:58:22;Aus Standbymodus aufgeweckt;;
2018-12-28 11:01:44;In Standbymodus versetzt;Application API;
2018-12-28 12:48:11;Aus Standbymodus aufgeweckt;;
2018-12-28 13:10:38;In Standbymodus versetzt;Application API;
2018-12-28 15:49:20;Aus Standbymodus aufgeweckt;;
2018-12-28 16:09:15;In Standbymodus versetzt;Application API;
2018-12-28 17:17:42;Aus Standbymodus aufgeweckt;;
2018-12-28 17:30:27;In Standbymodus versetzt;Application API;
2018-12-28 19:18:45;Aus Standbymodus aufgeweckt;;
2018-12-28 19:19:04;In Standbymodus versetzt;Application API;
2018-12-28 21:38:12;Aus Standbymodus aufgeweckt;;
2018-12-28 21:38:45;In Standbymodus versetzt;Application API;
2018-12-29 08:38:07;Aus Standbymodus aufgeweckt;;
2018-12-29 08:50:28;In Standbymodus versetzt;Application API;
2018-12-29 09:50:46;Aus Standbymodus aufgeweckt;;
2018-12-29 09:59:18;In Standbymodus versetzt;Application API;
2018-12-29 10:22:07;Aus Standbymodus aufgeweckt;;
2018-12-29 10:24:18;In Standbymodus versetzt;System idle;
2018-12-29 10:59:06;Aus Standbymodus aufgeweckt;;
2018-12-29 11:02:04;In Standbymodus versetzt;Application API;
2018-12-29 15:58:53;Aus Standbymodus aufgeweckt;;
2018-12-29 16:13:50;In Standbymodus versetzt;Application API;
2018-12-29 16:24:53;Aus Standbymodus aufgeweckt;;
2018-12-29 16:26:14;In Standbymodus versetzt;Application API;
2018-12-29 19:02:07;Aus Standbymodus aufgeweckt;;
2018-12-29 19:06:04;In Standbymodus versetzt;Application API;
2018-12-29 21:39:46;Aus Standbymodus aufgeweckt;;
2018-12-29 21:44:30;In Standbymodus versetzt;Application API;
2018-12-30 06:17:28;Aus Standbymodus aufgeweckt;;
2018-12-30 07:09:32;In Standbymodus versetzt;Application API;
2018-12-30 08:59:17;Aus Standbymodus aufgeweckt;;
2018-12-30 09:33:33;In Standbymodus versetzt;System idle;
2018-12-30 09:48:40;Aus Standbymodus aufgeweckt;;
2018-12-30 10:12:39;In Standbymodus versetzt;System idle;
2018-12-30 10:20:08;Aus Standbymodus aufgeweckt;;
2018-12-30 11:00:27;In Standbymodus versetzt;Application API;
2018-12-30 11:03:12;Aus Standbymodus aufgeweckt;;
2018-12-30 11:14:21;In Standbymodus versetzt;Application API;
2018-12-30 12:05:54;Aus Standbymodus aufgeweckt;;
2018-12-30 12:17:24;In Standbymodus versetzt;Application API;
2018-12-30 12:21:51;Aus Standbymodus aufgeweckt;;
2018-12-30 12:50:11;In Standbymodus versetzt;Application API;
2018-12-30 12:51:48;Aus Standbymodus aufgeweckt;;
2018-12-30 12:59:57;In Standbymodus versetzt;Application API;
2018-12-30 13:17:56;Aus Standbymodus aufgeweckt;;
2018-12-30 13:23:29;In Standbymodus versetzt;Application API;
2018-12-30 13:30:49;Aus Standbymodus aufgeweckt;;
2018-12-30 13:38:34;In Standbymodus versetzt;Application API;
2018-12-30 14:01:53;Aus Standbymodus aufgeweckt;;
2018-12-30 14:09:15;In Standbymodus versetzt;Application API;
2018-12-30 15:21:29;Aus Standbymodus aufgeweckt;;
2018-12-30 16:29:09;In Standbymodus versetzt;Application API;
2018-12-30 16:32:26;Aus Standbymodus aufgeweckt;;
2018-12-30 16:48:38;In Standbymodus versetzt;Application API;
2018-12-30 17:08:25;Aus Standbymodus aufgeweckt;;
2018-12-30 17:38:35;In Standbymodus versetzt;Application API;
2018-12-30 18:01:08;Aus Standbymodus aufgeweckt;;
2018-12-30 18:02:28;In Standbymodus versetzt;Application API;
2018-12-30 18:38:38;Aus Standbymodus aufgeweckt;;
2018-12-30 18:39:58;In Standbymodus versetzt;Application API;
2018-12-30 20:51:05;Aus Standbymodus aufgeweckt;;
2018-12-30 20:51:30;In Standbymodus versetzt;Application API;
2018-12-31 06:18:00;Aus Standbymodus aufgeweckt;;
2018-12-31 07:11:55;In Standbymodus versetzt;Application API;
2018-12-31 09:06:35;Aus Standbymodus aufgeweckt;;
2018-12-31 09:57:32;In Standbymodus versetzt;System idle;
2018-12-31 11:38:55;Aus Standbymodus aufgeweckt;;
2018-12-31 11:43:48;In Standbymodus versetzt;Application API;
2018-12-31 13:02:49;Aus Standbymodus aufgeweckt;;
2018-12-31 13:06:10;In Standbymodus versetzt;Application API;
2018-12-31 16:05:40;Aus Standbymodus aufgeweckt;;
2018-12-31 16:09:49;In Standbymodus versetzt;Application API;
2018-12-31 17:44:50;Aus Standbymodus aufgeweckt;;
2018-12-31 17:48:13;In Standbymodus versetzt;Application API;
2019-01-01 12:03:33;Aus Standbymodus aufgeweckt;;
2019-01-01 12:33:41;In Standbymodus versetzt;Application API;
2019-01-01 13:14:12;Aus Standbymodus aufgeweckt;;
2019-01-01 13:35:00;In Standbymodus versetzt;Application API;
2019-01-01 14:10:29;Aus Standbymodus aufgeweckt;;
2019-01-01 14:11:47;In Standbymodus versetzt;Application API;
2019-01-01 15:51:33;Aus Standbymodus aufgeweckt;;
2019-01-01 16:02:10;In Standbymodus versetzt;Application API;
2019-01-01 16:20:17;Aus Standbymodus aufgeweckt;;
2019-01-01 16:38:26;In Standbymodus versetzt;Application API;
2019-01-01 16:57:15;Aus Standbymodus aufgeweckt;;
2019-01-01 17:05:57;In Standbymodus versetzt;Application API;
2019-01-01 17:14:54;Aus Standbymodus aufgeweckt;;
2019-01-01 17:20:37;In Standbymodus versetzt;Application API;
2019-01-01 17:28:30;Aus Standbymodus aufgeweckt;;
2019-01-01 17:34:33;In Standbymodus versetzt;Application API;
2019-01-01 21:33:28;Aus Standbymodus aufgeweckt;;
2019-01-01 21:33:51;In Standbymodus versetzt;Application API;
2019-01-02 06:01:26;Aus Standbymodus aufgeweckt;;
2019-01-02 06:51:26;In Standbymodus versetzt;Application API;
2019-01-02 06:59:10;Aus Standbymodus aufgeweckt;;
2019-01-02 06:59:19;In Standbymodus versetzt;Application API;
2019-01-02 08:10:41;Aus Standbymodus aufgeweckt;;
2019-01-02 08:14:23;In Standbymodus versetzt;Application API;
2019-01-02 08:42:46;Aus Standbymodus aufgeweckt;;
2019-01-02 09:12:24;Heruntergefahren;;
2019-01-02 09:12:38;Start;;
2019-01-02 09:22:51;In Standbymodus versetzt;Application API;
2019-01-02 09:30:25;Aus Standbymodus aufgeweckt;;
2019-01-02 09:31:20;In Standbymodus versetzt;Application API;
2019-01-02 09:32:05;Aus Standbymodus aufgeweckt;;
2019-01-02 09:33:17;In Standbymodus versetzt;Application API;
2019-01-02 12:22:03;Aus Standbymodus aufgeweckt;;
2019-01-02 12:37:24;In Standbymodus versetzt;Application API;
2019-01-02 13:02:43;Aus Standbymodus aufgeweckt;;
2019-01-02 13:09:54;In Standbymodus versetzt;Application API;
2019-01-02 16:28:32;Aus Standbymodus aufgeweckt;;
2019-01-02 16:30:29;In Standbymodus versetzt;Application API;
2019-01-02 20:07:55;Aus Standbymodus aufgeweckt;;
2019-01-02 20:10:26;In Standbymodus versetzt;Application API;
2019-01-03 06:00:02;Aus Standbymodus aufgeweckt;;
2019-01-03 06:50:25;In Standbymodus versetzt;Application API;
2019-01-03 09:00:51;Aus Standbymodus aufgeweckt;;
2019-01-03 09:04:24;In Standbymodus versetzt;Application API;
2019-01-03 12:24:42;Aus Standbymodus aufgeweckt;;
2019-01-03 12:27:00;In Standbymodus versetzt;Application API;
2019-01-03 12:51:09;Aus Standbymodus aufgeweckt;;
2019-01-03 12:52:31;In Standbymodus versetzt;Application API;
2019-01-03 15:06:48;Aus Standbymodus aufgeweckt;;
2019-01-03 15:40:54;In Standbymodus versetzt;Application API;
2019-01-03 16:29:20;Aus Standbymodus aufgeweckt;;
2019-01-03 16:37:47;In Standbymodus versetzt;Application API;
2019-01-03 19:16:53;Aus Standbymodus aufgeweckt;;
2019-01-03 19:29:31;In Standbymodus versetzt;Application API;
2019-01-03 21:13:23;Aus Standbymodus aufgeweckt;;
2019-01-03 21:14:42;In Standbymodus versetzt;Application API;
2019-01-03 22:26:21;Aus Standbymodus aufgeweckt;;
2019-01-03 22:38:00;In Standbymodus versetzt;Application API;
2019-01-04 06:21:11;Aus Standbymodus aufgeweckt;;
2019-01-04 07:04:13;In Standbymodus versetzt;Application API;
2019-01-04 07:10:53;Aus Standbymodus aufgeweckt;;
2019-01-04 07:13:46;In Standbymodus versetzt;Application API;
2019-01-04 11:23:00;Aus Standbymodus aufgeweckt;;
2019-01-04 12:06:32;In Standbymodus versetzt;Application API;
2019-01-04 13:01:39;Aus Standbymodus aufgeweckt;;
2019-01-04 13:03:03;In Standbymodus versetzt;Application API;
2019-01-04 17:52:30;Aus Standbymodus aufgeweckt;;
2019-01-04 18:06:59;In Standbymodus versetzt;Application API;
2019-01-04 18:30:41;Aus Standbymodus aufgeweckt;;
2019-01-04 18:34:06;In Standbymodus versetzt;Application API;
2019-01-04 19:28:37;Aus Standbymodus aufgeweckt;;
2019-01-04 19:30:20;In Standbymodus versetzt;Application API;
2019-01-05 06:23:11;Aus Standbymodus aufgeweckt;;
2019-01-05 07:10:14;In Standbymodus versetzt;Application API;
2019-01-05 11:51:47;Aus Standbymodus aufgeweckt;;
2019-01-05 12:46:08;In Standbymodus versetzt;Application API;
2019-01-05 12:53:34;Aus Standbymodus aufgeweckt;;
2019-01-05 13:16:48;In Standbymodus versetzt;Application API;
2019-01-05 15:43:16;Aus Standbymodus aufgeweckt;;
2019-01-05 16:03:16;In Standbymodus versetzt;Application API;
2019-01-05 16:09:44;Aus Standbymodus aufgeweckt;;
2019-01-05 16:20:03;In Standbymodus versetzt;Application API;
2019-01-05 18:22:53;Aus Standbymodus aufgeweckt;;
2019-01-05 18:33:08;In Standbymodus versetzt;Application API;
2019-01-05 22:00:37;Aus Standbymodus aufgeweckt;;
2019-01-05 22:01:07;In Standbymodus versetzt;Application API;
2019-01-06 06:15:54;Aus Standbymodus aufgeweckt;;
2019-01-06 07:13:10;In Standbymodus versetzt;Application API;
2019-01-06 13:50:31;Aus Standbymodus aufgeweckt;;
2019-01-06 13:58:36;In Standbymodus versetzt;Application API;
2019-01-06 17:37:20;Aus Standbymodus aufgeweckt;;
2019-01-06 17:39:50;In Standbymodus versetzt;Application API;
2019-01-06 19:53:36;Aus Standbymodus aufgeweckt;;
2019-01-06 19:54:07;In Standbymodus versetzt;Application API;
2019-01-07 06:18:42;Aus Standbymodus aufgeweckt;;
2019-01-07 07:02:38;In Standbymodus versetzt;Application API;
2019-01-07 09:02:41;Aus Standbymodus aufgeweckt;;
2019-01-07 09:02:43;In Standbymodus versetzt;Hibernate from Sleep - Fixed Timeout;
2019-01-07 10:35:48;Aus Standbymodus aufgeweckt;;
2019-01-07 10:41:03;In Standbymodus versetzt;Application API;
2019-01-07 11:12:21;Aus Standbymodus aufgeweckt;;
2019-01-07 11:14:55;In Standbymodus versetzt;System idle;
2019-01-07 13:10:04;Aus Standbymodus aufgeweckt;;
2019-01-07 13:13:47;In Standbymodus versetzt;Application API;
2019-01-07 15:59:14;Aus Standbymodus aufgeweckt;;
2019-01-07 16:06:59;In Standbymodus versetzt;Application API;
2019-01-07 16:22:01;Aus Standbymodus aufgeweckt;;
2019-01-07 16:26:17;In Standbymodus versetzt;Application API;
2019-01-07 16:31:56;Aus Standbymodus aufgeweckt;;
2019-01-07 16:39:56;In Standbymodus versetzt;Application API;
2019-01-07 21:32:15;Aus Standbymodus aufgeweckt;;
2019-01-07 21:32:58;In Standbymodus versetzt;Application API;
2019-01-08 07:06:39;Aus Standbymodus aufgeweckt;;
2019-01-08 07:14:22;In Standbymodus versetzt;Application API;
2019-01-08 09:05:38;Aus Standbymodus aufgeweckt;;
2019-01-08 09:40:14;In Standbymodus versetzt;Application API;
2019-01-08 10:11:45;Aus Standbymodus aufgeweckt;;
2019-01-08 10:13:23;In Standbymodus versetzt;Application API;
2019-01-08 10:21:23;Aus Standbymodus aufgeweckt;;
2019-01-08 10:25:40;In Standbymodus versetzt;Application API;
2019-01-08 11:04:27;Aus Standbymodus aufgeweckt;;
2019-01-08 11:20:32;In Standbymodus versetzt;Application API;
2019-01-08 12:08:28;Aus Standbymodus aufgeweckt;;
2019-01-08 12:14:03;In Standbymodus versetzt;Application API;
2019-01-08 12:22:06;Aus Standbymodus aufgeweckt;;
2019-01-08 12:38:27;In Standbymodus versetzt;Application API;
2019-01-08 13:16:53;Aus Standbymodus aufgeweckt;;
2019-01-08 13:19:52;In Standbymodus versetzt;Application API;
2019-01-08 13:27:49;Aus Standbymodus aufgeweckt;;
2019-01-08 13:31:11;In Standbymodus versetzt;Application API;
2019-01-08 14:44:42;Aus Standbymodus aufgeweckt;;
2019-01-08 16:44:29;In Standbymodus versetzt;Application API;
2019-01-08 19:32:05;Aus Standbymodus aufgeweckt;;
2019-01-08 19:35:48;In Standbymodus versetzt;Application API;
2019-01-08 19:36:44;Aus Standbymodus aufgeweckt;;
2019-01-08 19:38:24;In Standbymodus versetzt;Application API;
2019-01-08 21:32:00;Aus Standbymodus aufgeweckt;;
2019-01-08 21:32:43;In Standbymodus versetzt;Application API;
2019-01-09 06:39:00;Aus Standbymodus aufgeweckt;;
2019-01-09 07:13:10;In Standbymodus versetzt;Application API;
2019-01-09 09:27:21;Aus Standbymodus aufgeweckt;;
2019-01-09 09:40:33;In Standbymodus versetzt;System idle;
2019-01-09 09:43:39;Aus Standbymodus aufgeweckt;;
2019-01-09 09:46:47;Heruntergefahren;;
2019-01-09 09:47:00;Start;;
2019-01-09 09:48:10;Heruntergefahren;;
2019-01-09 09:48:23;Start;;
2019-01-09 09:50:11;Heruntergefahren;;
2019-01-09 09:50:24;Start;;
2019-01-09 09:51:20;Heruntergefahren;;
2019-01-09 09:51:40;Start;;
2019-01-09 10:13:43;In Standbymodus versetzt;System idle;
2019-01-09 11:00:08;Aus Standbymodus aufgeweckt;;
2019-01-09 11:16:44;In Standbymodus versetzt;Application API;
2019-01-09 11:18:45;Aus Standbymodus aufgeweckt;;
2019-01-09 11:24:13;In Standbymodus versetzt;Application API;
2019-01-09 11:51:03;Aus Standbymodus aufgeweckt;;
2019-01-09 11:52:36;In Standbymodus versetzt;Application API;
2019-01-09 12:38:47;Aus Standbymodus aufgeweckt;;
2019-01-09 12:38:56;In Standbymodus versetzt;Application API;
2019-01-09 12:53:03;Aus Standbymodus aufgeweckt;;
2019-01-09 13:01:30;In Standbymodus versetzt;Application API;
2019-01-09 14:42:23;Aus Standbymodus aufgeweckt;;
2019-01-09 14:43:20;In Standbymodus versetzt;Application API;
2019-01-09 15:19:31;Aus Standbymodus aufgeweckt;;
2019-01-09 15:42:56;In Standbymodus versetzt;Application API;
2019-01-09 15:48:24;Aus Standbymodus aufgeweckt;;
2019-01-09 15:48:59;In Standbymodus versetzt;Application API;
2019-01-09 16:23:02;Aus Standbymodus aufgeweckt;;
2019-01-09 16:55:23;In Standbymodus versetzt;Application API;
2019-01-09 16:56:56;Aus Standbymodus aufgeweckt;;
2019-01-09 16:58:37;In Standbymodus versetzt;Application API;
2019-01-09 17:05:33;Aus Standbymodus aufgeweckt;;
2019-01-09 17:12:52;In Standbymodus versetzt;Application API;
2019-01-09 18:32:24;Aus Standbymodus aufgeweckt;;
2019-01-09 18:42:06;In Standbymodus versetzt;Application API;
2019-01-09 20:01:13;Aus Standbymodus aufgeweckt;;
2019-01-09 20:07:40;In Standbymodus versetzt;Application API;
2019-01-09 21:43:16;Aus Standbymodus aufgeweckt;;
2019-01-09 21:43:33;In Standbymodus versetzt;Application API;
2019-01-10 06:29:32;Aus Standbymodus aufgeweckt;;
2019-01-10 07:12:41;In Standbymodus versetzt;Application API;
2019-01-10 09:09:22;Aus Standbymodus aufgeweckt;;
2019-01-10 09:41:16;In Standbymodus versetzt;Application API;
2019-01-10 11:41:19;Aus Standbymodus aufgeweckt;;
2019-01-10 11:41:20;In Standbymodus versetzt;Application API;
2019-01-10 13:10:23;Aus Standbymodus aufgeweckt;;
2019-01-10 13:14:52;Heruntergefahren;;
2019-01-10 13:15:05;Start;;
2019-01-10 13:16:42;In Standbymodus versetzt;Application API;
2019-01-10 15:35:37;Aus Standbymodus aufgeweckt;;
2019-01-10 15:52:10;In Standbymodus versetzt;Application API;
2019-01-10 17:38:47;Aus Standbymodus aufgeweckt;;
2019-01-10 17:50:02;In Standbymodus versetzt;Application API;
2019-01-10 18:17:11;Aus Standbymodus aufgeweckt;;
2019-01-10 18:17:40;In Standbymodus versetzt;Application API;
2019-01-10 18:24:42;Aus Standbymodus aufgeweckt;;
2019-01-10 18:49:17;In Standbymodus versetzt;Application API;
2019-01-10 19:21:32;Aus Standbymodus aufgeweckt;;
2019-01-10 19:32:46;In Standbymodus versetzt;Application API;
2019-01-10 21:35:36;Aus Standbymodus aufgeweckt;;
2019-01-10 21:36:23;In Standbymodus versetzt;Application API;
2019-01-11 06:23:05;Aus Standbymodus aufgeweckt;;
2019-01-11 07:12:55;In Standbymodus versetzt;Application API;
2019-01-11 08:44:22;Aus Standbymodus aufgeweckt;;
2019-01-11 08:49:53;In Standbymodus versetzt;Application API;
2019-04-04 09:31:20;Aus Standbymodus aufgeweckt;;
2019-04-04 09:39:28;Letzter Log Eintrag;;
