Zeit; Event; Ursache; Info
2018-10-13 17:02:13;In Standbymodus versetzt;Application API;
2018-10-13 19:23:32;Aus Standbymodus aufgeweckt;;
2018-10-13 19:24:07;In Standbymodus versetzt;Application API;
2018-10-13 21:22:52;Aus Standbymodus aufgeweckt;;
2018-10-13 21:29:47;In Standbymodus versetzt;Application API;
2018-10-14 06:38:46;Aus Standbymodus aufgeweckt;;
2018-10-14 07:10:26;In Standbymodus versetzt;Application API;
2018-10-14 12:22:08;Aus Standbymodus aufgeweckt;;
2018-10-14 12:32:13;In Standbymodus versetzt;Application API;
2018-10-14 13:40:04;Aus Standbymodus aufgeweckt;;
2018-10-14 13:42:44;In Standbymodus versetzt;Application API;
2018-10-14 16:05:01;Aus Standbymodus aufgeweckt;;
2018-10-14 16:27:28;In Standbymodus versetzt;Application API;
2018-10-14 18:01:51;Aus Standbymodus aufgeweckt;;
2018-10-14 18:21:44;Heruntergefahren;;
2018-10-14 18:22:36;Start;;
2018-10-14 18:24:55;Heruntergefahren;;
2018-10-14 18:25:08;Start;;
2018-10-14 18:26:23;In Standbymodus versetzt;Application API;
2018-10-14 20:00:12;Aus Standbymodus aufgeweckt;;
2018-10-14 20:07:02;In Standbymodus versetzt;Application API;
2018-10-15 06:42:27;Aus Standbymodus aufgeweckt;;
2018-10-15 07:07:41;In Standbymodus versetzt;Application API;
2018-10-15 08:56:25;Aus Standbymodus aufgeweckt;;
2018-10-15 09:06:54;In Standbymodus versetzt;Application API;
2018-10-15 09:18:28;Aus Standbymodus aufgeweckt;;
2018-10-15 09:55:38;In Standbymodus versetzt;System idle;
2018-10-15 11:34:15;Aus Standbymodus aufgeweckt;;
2018-10-15 11:41:43;In Standbymodus versetzt;System idle;
2018-10-15 12:22:54;Aus Standbymodus aufgeweckt;;
2018-10-15 12:30:22;In Standbymodus versetzt;Application API;
2018-10-15 12:37:36;Aus Standbymodus aufgeweckt;;
2018-10-15 12:42:29;In Standbymodus versetzt;Application API;
2018-10-15 14:40:12;Aus Standbymodus aufgeweckt;;
2018-10-15 14:54:46;In Standbymodus versetzt;System idle;
2018-10-15 15:03:10;Aus Standbymodus aufgeweckt;;
2018-10-15 16:02:03;In Standbymodus versetzt;Application API;
2018-10-15 16:15:18;Aus Standbymodus aufgeweckt;;
2018-10-15 16:38:08;In Standbymodus versetzt;Application API;
2018-10-15 16:52:06;Aus Standbymodus aufgeweckt;;
2018-10-15 17:04:44;In Standbymodus versetzt;Application API;
2018-10-15 21:20:06;Aus Standbymodus aufgeweckt;;
2018-10-15 21:20:36;In Standbymodus versetzt;Application API;
2018-10-16 06:29:47;Aus Standbymodus aufgeweckt;;
2018-10-16 07:08:20;In Standbymodus versetzt;Application API;
2018-10-16 08:04:25;Aus Standbymodus aufgeweckt;;
2018-10-16 08:11:03;In Standbymodus versetzt;Application API;
2018-10-16 11:37:52;Aus Standbymodus aufgeweckt;;
2018-10-16 11:44:38;In Standbymodus versetzt;Application API;
2018-10-16 12:20:38;Aus Standbymodus aufgeweckt;;
2018-10-16 12:35:18;In Standbymodus versetzt;Application API;
2018-10-16 12:41:47;Aus Standbymodus aufgeweckt;;
2018-10-16 12:48:16;In Standbymodus versetzt;Application API;
2018-10-16 13:22:44;Aus Standbymodus aufgeweckt;;
2018-10-16 13:28:09;In Standbymodus versetzt;Application API;
2018-10-16 15:22:07;Aus Standbymodus aufgeweckt;;
2018-10-16 15:56:22;In Standbymodus versetzt;Application API;
